year,state,month,number,date
2015,Rio,Nov,30,1/1/2015
2016,Rio,Nov,105,1/1/2016
2017,Rio,Nov,137,1/1/2017
1998,Rio,Dec,605,1/1/1998
1999,Rio,Dec,1.11,1/1/1999
2000,Rio,Dec,80,1/1/2000
2001,Rio,Dec,80,1/1/2001
2002,Rio,Dec,45,1/1/2002
2003,Rio,Dec,98,1/1/2003
2004,Rio,Dec,99,1/1/2004
2005,Rio,Dec,35,1/1/2005
2006,Rio,Dec,15,1/1/2006
2007,Rio,Dec,25,1/1/2007
2008,Rio,Dec,32,1/1/2008
2009,Rio,Dec,15,1/1/2009
2010,Rio,Dec,103,1/1/2010
2011,Rio,Dec,69,1/1/2011
2012,Rio,Dec,38,1/1/2012
2013,Rio,Dec,62,1/1/2013
2014,Rio,Dec,31,1/1/2014
2015,Rio,Dec,42,1/1/2015
2016,Rio,Dec,79,1/1/2016
1998,Rondonia,Jan,0,1/1/1998
1999,Rondonia,Jan,1,1/1/1999
2000,Rondonia,Jan,0,1/1/2000
2001,Rondonia,Jan,0,1/1/2001
2002,Rondonia,Jan,6,1/1/2002
2003,Rondonia,Jan,62,1/1/2003
2004,Rondonia,Jan,30,1/1/2004
2005,Rondonia,Jan,99,1/1/2005
2006,Rondonia,Jan,16,1/1/2006
2007,Rondonia,Jan,33,1/1/2007
2008,Rondonia,Jan,4,1/1/2008
2009,Rondonia,Jan,17,1/1/2009
2010,Rondonia,Jan,18,1/1/2010
2011,Rondonia,Jan,1,1/1/2011
2012,Rondonia,Jan,2,1/1/2012
2013,Rondonia,Jan,7,1/1/2013
2014,Rondonia,Jan,12,1/1/2014
2015,Rondonia,Jan,30,1/1/2015
2016,Rondonia,Jan,93,1/1/2016
2017,Rondonia,Jan,44,1/1/2017
1998,Rondonia,Feb,0,1/1/1998
1999,Rondonia,Feb,1,1/1/1999
2000,Rondonia,Feb,6,1/1/2000
2001,Rondonia,Feb,2,1/1/2001
2002,Rondonia,Feb,8,1/1/2002
2003,Rondonia,Feb,10,1/1/2003
2004,Rondonia,Feb,12,1/1/2004
2005,Rondonia,Feb,42,1/1/2005
2006,Rondonia,Feb,17,1/1/2006
2007,Rondonia,Feb,8,1/1/2007
2008,Rondonia,Feb,7,1/1/2008
2009,Rondonia,Feb,1,1/1/2009
2010,Rondonia,Feb,9,1/1/2010
2011,Rondonia,Feb,2,1/1/2011
2012,Rondonia,Feb,9,1/1/2012
2013,Rondonia,Feb,8,1/1/2013
2014,Rondonia,Feb,5,1/1/2014
2015,Rondonia,Feb,22,1/1/2015
2016,Rondonia,Feb,88,1/1/2016
2017,Rondonia,Feb,10,1/1/2017
1998,Rondonia,March,0,1/1/1998
1999,Rondonia,March,8,1/1/1999
2000,Rondonia,March,9,1/1/2000
2001,Rondonia,March,0,1/1/2001
2002,Rondonia,March,1,1/1/2002
2003,Rondonia,March,13,1/1/2003
2004,Rondonia,March,20,1/1/2004
2005,Rondonia,March,17,1/1/2005
2006,Rondonia,March,15,1/1/2006
2007,Rondonia,March,20,1/1/2007
2008,Rondonia,March,2,1/1/2008
2009,Rondonia,March,12,1/1/2009
2010,Rondonia,March,11,1/1/2010
2011,Rondonia,March,6,1/1/2011
2012,Rondonia,March,6,1/1/2012
2013,Rondonia,March,23,1/1/2013
2014,Rondonia,March,13,1/1/2014
2015,Rondonia,March,15,1/1/2015
2016,Rondonia,March,25,1/1/2016
2017,Rondonia,March,21,1/1/2017
1998,Rondonia,April,0,1/1/1998
1999,Rondonia,April,3,1/1/1999
2000,Rondonia,April,0,1/1/2000
2001,Rondonia,April,0,1/1/2001
2002,Rondonia,April,3,1/1/2002
2003,Rondonia,April,10,1/1/2003
2004,Rondonia,April,14,1/1/2004
2005,Rondonia,April,7,1/1/2005
2006,Rondonia,April,0,1/1/2006
2007,Rondonia,April,0,1/1/2007
2008,Rondonia,April,8,1/1/2008
2009,Rondonia,April,3,1/1/2009
2010,Rondonia,April,19,1/1/2010
2011,Rondonia,April,8,1/1/2011
2012,Rondonia,April,12,1/1/2012
2013,Rondonia,April,9,1/1/2013
2014,Rondonia,April,15,1/1/2014
2015,Rondonia,April,15,1/1/2015
2016,Rondonia,April,59,1/1/2016
2017,Rondonia,April,19,1/1/2017
1998,Rondonia,May,0,1/1/1998
1999,Rondonia,May,3,1/1/1999
2000,Rondonia,May,13,1/1/2000
2001,Rondonia,May,5,1/1/2001
2002,Rondonia,May,10,1/1/2002
2003,Rondonia,May,21,1/1/2003
2004,Rondonia,May,9,1/1/2004
2005,Rondonia,May,38,1/1/2005
2006,Rondonia,May,7,1/1/2006
2007,Rondonia,May,4,1/1/2007
2008,Rondonia,May,1,1/1/2008
2009,Rondonia,May,6,1/1/2009
2010,Rondonia,May,41,1/1/2010
2011,Rondonia,May,54,1/1/2011
2012,Rondonia,May,22,1/1/2012
2013,Rondonia,May,9,1/1/2013
2014,Rondonia,May,28,1/1/2014
2015,Rondonia,May,13,1/1/2015
2016,Rondonia,May,44,1/1/2016
2017,Rondonia,May,31,1/1/2017
1998,Rondonia,June,26,1/1/1998
1999,Rondonia,June,10,1/1/1999
2000,Rondonia,June,54,1/1/2000
2001,Rondonia,June,31,1/1/2001
2002,Rondonia,June,141,1/1/2002
2003,Rondonia,June,74,1/1/2003
2004,Rondonia,June,151,1/1/2004
2005,Rondonia,June,153,1/1/2005
2006,Rondonia,June,40,1/1/2006
2007,Rondonia,June,71,1/1/2007
2008,Rondonia,June,11,1/1/2008
2009,Rondonia,June,13,1/1/2009
2010,Rondonia,June,44,1/1/2010
2011,Rondonia,June,130,1/1/2011
2012,Rondonia,June,32,1/1/2012
2013,Rondonia,June,22,1/1/2013
2014,Rondonia,June,92,1/1/2014
2015,Rondonia,June,119,1/1/2015
2016,Rondonia,June,170,1/1/2016
2017,Rondonia,June,192,1/1/2017
1998,Rondonia,July,365,1/1/1998
1999,Rondonia,July,135,1/1/1999
2000,Rondonia,July,117,1/1/2000
2001,Rondonia,July,74,1/1/2001
2002,Rondonia,July,539,1/1/2002
2003,Rondonia,July,516,1/1/2003
2004,Rondonia,July,1.233,1/1/2004
2005,Rondonia,July,798,1/1/2005
2006,Rondonia,July,314,1/1/2006
2007,Rondonia,July,187,1/1/2007
2008,Rondonia,July,138,1/1/2008
2009,Rondonia,July,110,1/1/2009
2010,Rondonia,July,747,1/1/2010
2011,Rondonia,July,293,1/1/2011
2012,Rondonia,July,205,1/1/2012
2013,Rondonia,July,117,1/1/2013
2014,Rondonia,July,192,1/1/2014
2015,Rondonia,July,423,1/1/2015
2016,Rondonia,July,969,1/1/2016
2017,Rondonia,July,1.28,1/1/2017
1998,Rondonia,Aug,2.254,1/1/1998
1999,Rondonia,Aug,1.976,1/1/1999
2000,Rondonia,Aug,2.197,1/1/2000
2001,Rondonia,Aug,2.132,1/1/2001
2002,Rondonia,Aug,3.465,1/1/2002
2003,Rondonia,Aug,7.06,1/1/2003
2004,Rondonia,Aug,6.893,1/1/2004
2005,Rondonia,Aug,6.672,1/1/2005
2006,Rondonia,Aug,3.124,1/1/2006
2007,Rondonia,Aug,4.786,1/1/2007
2008,Rondonia,Aug,1.251,1/1/2008
2009,Rondonia,Aug,484,1/1/2009
2010,Rondonia,Aug,4.388,1/1/2010
2011,Rondonia,Aug,1.161,1/1/2011
2012,Rondonia,Aug,2.209,1/1/2012
2013,Rondonia,Aug,885,1/1/2013
2014,Rondonia,Aug,3.038,1/1/2014
2015,Rondonia,Aug,3.762,1/1/2015
2016,Rondonia,Aug,3.675,1/1/2016
2017,Rondonia,Aug,4.287,1/1/2017
1998,Rondonia,Sept,3.753,1/1/1998
1999,Rondonia,Sept,3.062,1/1/1999
2000,Rondonia,Sept,2.438,1/1/2000
2001,Rondonia,Sept,1.927,1/1/2001
2002,Rondonia,Sept,7.067,1/1/2002
2003,Rondonia,Sept,6.89,1/1/2003
2004,Rondonia,Sept,13.05,1/1/2004
2005,Rondonia,Sept,13.972,1/1/2005
2006,Rondonia,Sept,9.92,1/1/2006
2007,Rondonia,Sept,6.832,1/1/2007
2008,Rondonia,Sept,3.726,1/1/2008
2009,Rondonia,Sept,1.869,1/1/2009
2010,Rondonia,Sept,4.893,1/1/2010
2011,Rondonia,Sept,1.782,1/1/2011
2012,Rondonia,Sept,2.471,1/1/2012
2013,Rondonia,Sept,1.776,1/1/2013
2014,Rondonia,Sept,2.8,1/1/2014
2015,Rondonia,Sept,6.129,1/1/2015
2016,Rondonia,Sept,4.208,1/1/2016
2017,Rondonia,Sept,5.638,1/1/2017
1998,Rondonia,Oct,483,1/1/1998
1999,Rondonia,Oct,1.884,1/1/1999
2000,Rondonia,Oct,644,1/1/2000
2001,Rondonia,Oct,796,1/1/2001
2002,Rondonia,Oct,3.554,1/1/2002
2003,Rondonia,Oct,4.962,1/1/2003
2004,Rondonia,Oct,3.094,1/1/2004
2005,Rondonia,Oct,2.559,1/1/2005
2006,Rondonia,Oct,1.148,1/1/2006
2007,Rondonia,Oct,2.023,1/1/2007
2008,Rondonia,Oct,1.482,1/1/2008
2009,Rondonia,Oct,1.444,1/1/2009
2010,Rondonia,Oct,1.307,1/1/2010
2011,Rondonia,Oct,822,1/1/2011
2012,Rondonia,Oct,1.229,1/1/2012
2013,Rondonia,Oct,555,1/1/2013
2014,Rondonia,Oct,1.063,1/1/2014
2015,Rondonia,Oct,2.598,1/1/2015
2016,Rondonia,Oct,1.844,1/1/2016
2017,Rondonia,Oct,2.19,1/1/2017
1998,Rondonia,Nov,3,1/1/1998
1999,Rondonia,Nov,41,1/1/1999
2000,Rondonia,Nov,13,1/1/2000
2001,Rondonia,Nov,91,1/1/2001
2002,Rondonia,Nov,639,1/1/2002
2003,Rondonia,Nov,526,1/1/2003
2004,Rondonia,Nov,452,1/1/2004
2005,Rondonia,Nov,465,1/1/2005
2006,Rondonia,Nov,253,1/1/2006
2007,Rondonia,Nov,53,1/1/2007
2008,Rondonia,Nov,78,1/1/2008
2009,Rondonia,Nov,128,1/1/2009
2010,Rondonia,Nov,238,1/1/2010
2011,Rondonia,Nov,245,1/1/2011
2012,Rondonia,Nov,174,1/1/2012
2013,Rondonia,Nov,108,1/1/2013
2014,Rondonia,Nov,202,1/1/2014
2015,Rondonia,Nov,1.002,1/1/2015
2016,Rondonia,Nov,401,1/1/2016
2017,Rondonia,Nov,372,1/1/2017
1998,Rondonia,Dec,33,1/1/1998
1999,Rondonia,Dec,0,1/1/1999
2000,Rondonia,Dec,7,1/1/2000
2001,Rondonia,Dec,1,1/1/2001
2002,Rondonia,Dec,91,1/1/2002
2003,Rondonia,Dec,214,1/1/2003
2004,Rondonia,Dec,208,1/1/2004
2005,Rondonia,Dec,36,1/1/2005
2006,Rondonia,Dec,4,1/1/2006
2007,Rondonia,Dec,6,1/1/2007
2008,Rondonia,Dec,2,1/1/2008
2009,Rondonia,Dec,9,1/1/2009
2010,Rondonia,Dec,158,1/1/2010
2011,Rondonia,Dec,37,1/1/2011
2012,Rondonia,Dec,50,1/1/2012
2013,Rondonia,Dec,143,1/1/2013
2014,Rondonia,Dec,144,1/1/2014
2015,Rondonia,Dec,282,1/1/2015
2016,Rondonia,Dec,148,1/1/2016
1998,Roraima,Jan,0,1/1/1998
1999,Roraima,Jan,15,1/1/1999
2000,Roraima,Jan,18,1/1/2000
2001,Roraima,Jan,101,1/1/2001
2002,Roraima,Jan,302,1/1/2002
2003,Roraima,Jan,547,1/1/2003
2004,Roraima,Jan,355,1/1/2004
2005,Roraima,Jan,106,1/1/2005
2006,Roraima,Jan,70,1/1/2006
2007,Roraima,Jan,194,1/1/2007
2008,Roraima,Jan,245,1/1/2008
2009,Roraima,Jan,45,1/1/2009
2010,Roraima,Jan,351,1/1/2010
2011,Roraima,Jan,225,1/1/2011
2012,Roraima,Jan,217,1/1/2012
2013,Roraima,Jan,397,1/1/2013
2014,Roraima,Jan,355,1/1/2014
2015,Roraima,Jan,330,1/1/2015
2016,Roraima,Jan,1.754,1/1/2016
2017,Roraima,Jan,108,1/1/2017
1998,Roraima,Feb,0,1/1/1998
1999,Roraima,Feb,20,1/1/1999
2000,Roraima,Feb,57,1/1/2000
2001,Roraima,Feb,646,1/1/2001
2002,Roraima,Feb,476,1/1/2002
2003,Roraima,Feb,767,1/1/2003
2004,Roraima,Feb,259,1/1/2004
2005,Roraima,Feb,105,1/1/2005
2006,Roraima,Feb,283,1/1/2006
2007,Roraima,Feb,796,1/1/2007
2008,Roraima,Feb,138,1/1/2008
2009,Roraima,Feb,153,1/1/2009
2010,Roraima,Feb,470,1/1/2010
2011,Roraima,Feb,112,1/1/2011
2012,Roraima,Feb,130,1/1/2012
2013,Roraima,Feb,62,1/1/2013
2014,Roraima,Feb,226,1/1/2014
2015,Roraima,Feb,418,1/1/2015
2016,Roraima,Feb,171,1/1/2016
2017,Roraima,Feb,129,1/1/2017
1998,Roraima,March,0,1/1/1998
1999,Roraima,March,98,1/1/1999
2000,Roraima,March,125,1/1/2000
2001,Roraima,March,1.108,1/1/2001
2002,Roraima,March,820,1/1/2002
2003,Roraima,March,1.131,1/1/2003
2004,Roraima,March,276,1/1/2004
2005,Roraima,March,244,1/1/2005
2006,Roraima,March,385,1/1/2006
2007,Roraima,March,665,1/1/2007
2008,Roraima,March,422,1/1/2008
2009,Roraima,March,176,1/1/2009
2010,Roraima,March,417,1/1/2010
2011,Roraima,March,91,1/1/2011
2012,Roraima,March,99,1/1/2012
2013,Roraima,March,179,1/1/2013
2014,Roraima,March,494,1/1/2014
2015,Roraima,March,163,1/1/2015
2016,Roraima,March,1.081,1/1/2016
2017,Roraima,March,216,1/1/2017
1998,Roraima,April,0,1/1/1998
1999,Roraima,April,16,1/1/1999
2000,Roraima,April,0,1/1/2000
2001,Roraima,April,380,1/1/2001
2002,Roraima,April,41,1/1/2002
2003,Roraima,April,268,1/1/2003
2004,Roraima,April,182,1/1/2004
2005,Roraima,April,22,1/1/2005
2006,Roraima,April,201,1/1/2006
2007,Roraima,April,58,1/1/2007
2008,Roraima,April,175,1/1/2008
2009,Roraima,April,115,1/1/2009
2010,Roraima,April,15,1/1/2010
2011,Roraima,April,108,1/1/2011
2012,Roraima,April,25,1/1/2012
2013,Roraima,April,87,1/1/2013
2014,Roraima,April,162,1/1/2014
2015,Roraima,April,278,1/1/2015
2016,Roraima,April,126,1/1/2016
2017,Roraima,April,51,1/1/2017
1998,Roraima,May,0,1/1/1998
1999,Roraima,May,0,1/1/1999
2000,Roraima,May,7,1/1/2000
2001,Roraima,May,9,1/1/2001
2002,Roraima,May,0,1/1/2002
2003,Roraima,May,0,1/1/2003
2004,Roraima,May,2,1/1/2004
2005,Roraima,May,1,1/1/2005
2006,Roraima,May,0,1/1/2006
2007,Roraima,May,0,1/1/2007
2008,Roraima,May,8,1/1/2008
2009,Roraima,May,219,1/1/2009
2010,Roraima,May,3,1/1/2010
2011,Roraima,May,4,1/1/2011
2012,Roraima,May,18,1/1/2012
2013,Roraima,May,4,1/1/2013
2014,Roraima,May,58,1/1/2014
2015,Roraima,May,12,1/1/2015
2016,Roraima,May,22,1/1/2016
2017,Roraima,May,29,1/1/2017
1998,Roraima,June,0,1/1/1998
1999,Roraima,June,3,1/1/1999
2000,Roraima,June,0,1/1/2000
2001,Roraima,June,1,1/1/2001
2002,Roraima,June,0,1/1/2002
2003,Roraima,June,0,1/1/2003
2004,Roraima,June,6,1/1/2004
2005,Roraima,June,5,1/1/2005
2006,Roraima,June,0,1/1/2006
2007,Roraima,June,1,1/1/2007
2008,Roraima,June,0,1/1/2008
2009,Roraima,June,16,1/1/2009
2010,Roraima,June,0,1/1/2010
2011,Roraima,June,6,1/1/2011
2012,Roraima,June,22,1/1/2012
2013,Roraima,June,6,1/1/2013
2014,Roraima,June,4,1/1/2014
2015,Roraima,June,3,1/1/2015
2016,Roraima,June,7,1/1/2016
2017,Roraima,June,4,1/1/2017
1998,Roraima,July,1,1/1/1998
1999,Roraima,July,4,1/1/1999
2000,Roraima,July,0,1/1/2000
2001,Roraima,July,1,1/1/2001
2002,Roraima,July,7,1/1/2002
2003,Roraima,July,0,1/1/2003
2004,Roraima,July,2,1/1/2004
2005,Roraima,July,2,1/1/2005
2006,Roraima,July,0,1/1/2006
2007,Roraima,July,3,1/1/2007
2008,Roraima,July,0,1/1/2008
2009,Roraima,July,18,1/1/2009
2010,Roraima,July,1,1/1/2010
2011,Roraima,July,9,1/1/2011
2012,Roraima,July,2,1/1/2012
2013,Roraima,July,4,1/1/2013
2014,Roraima,July,9,1/1/2014
2015,Roraima,July,5,1/1/2015
2016,Roraima,July,0,1/1/2016
2017,Roraima,July,3,1/1/2017
1998,Roraima,Aug,0,1/1/1998
1999,Roraima,Aug,1,1/1/1999
2000,Roraima,Aug,9,1/1/2000
2001,Roraima,Aug,4,1/1/2001
2002,Roraima,Aug,7,1/1/2002
2003,Roraima,Aug,2,1/1/2003
2004,Roraima,Aug,18,1/1/2004
2005,Roraima,Aug,9,1/1/2005
2006,Roraima,Aug,4,1/1/2006
2007,Roraima,Aug,2,1/1/2007
2008,Roraima,Aug,4,1/1/2008
2009,Roraima,Aug,29,1/1/2009
2010,Roraima,Aug,3,1/1/2010
2011,Roraima,Aug,39,1/1/2011
2012,Roraima,Aug,4,1/1/2012
2013,Roraima,Aug,3,1/1/2013
2014,Roraima,Aug,12,1/1/2014
2015,Roraima,Aug,11,1/1/2015
2016,Roraima,Aug,11,1/1/2016
2017,Roraima,Aug,35,1/1/2017
1998,Roraima,Sept,2,1/1/1998
1999,Roraima,Sept,3,1/1/1999
2000,Roraima,Sept,12,1/1/2000
2001,Roraima,Sept,1,1/1/2001
2002,Roraima,Sept,48,1/1/2002
2003,Roraima,Sept,6,1/1/2003
2004,Roraima,Sept,9,1/1/2004
2005,Roraima,Sept,72,1/1/2005
2006,Roraima,Sept,40,1/1/2006
2007,Roraima,Sept,9,1/1/2007
2008,Roraima,Sept,17,1/1/2008
2009,Roraima,Sept,117,1/1/2009
2010,Roraima,Sept,18,1/1/2010
2011,Roraima,Sept,53,1/1/2011
2012,Roraima,Sept,67,1/1/2012
2013,Roraima,Sept,18,1/1/2013
2014,Roraima,Sept,67,1/1/2014
2015,Roraima,Sept,77,1/1/2015
2016,Roraima,Sept,19,1/1/2016
2017,Roraima,Sept,43,1/1/2017
1998,Roraima,Oct,1,1/1/1998
1999,Roraima,Oct,10,1/1/1999
2000,Roraima,Oct,25,1/1/2000
2001,Roraima,Oct,13,1/1/2001
2002,Roraima,Oct,191,1/1/2002
2003,Roraima,Oct,14,1/1/2003
2004,Roraima,Oct,53,1/1/2004
2005,Roraima,Oct,88,1/1/2005
2006,Roraima,Oct,135,1/1/2006
2007,Roraima,Oct,15,1/1/2007
2008,Roraima,Oct,78,1/1/2008
2009,Roraima,Oct,197,1/1/2009
2010,Roraima,Oct,64,1/1/2010
2011,Roraima,Oct,65,1/1/2011
2012,Roraima,Oct,152,1/1/2012
2013,Roraima,Oct,63,1/1/2013
2014,Roraima,Oct,61,1/1/2014
2015,Roraima,Oct,181,1/1/2015
2016,Roraima,Oct,101,1/1/2016
2017,Roraima,Oct,156,1/1/2017
1998,Roraima,Nov,1,1/1/1998
1999,Roraima,Nov,15,1/1/1999
2000,Roraima,Nov,32,1/1/2000
2001,Roraima,Nov,76,1/1/2001
2002,Roraima,Nov,133,1/1/2002
2003,Roraima,Nov,27,1/1/2003
2004,Roraima,Nov,135,1/1/2004
2005,Roraima,Nov,135,1/1/2005
2006,Roraima,Nov,26,1/1/2006
2007,Roraima,Nov,112,1/1/2007
2008,Roraima,Nov,39,1/1/2008
2009,Roraima,Nov,312,1/1/2009
2010,Roraima,Nov,27,1/1/2010
2011,Roraima,Nov,121,1/1/2011
2012,Roraima,Nov,187,1/1/2012
2013,Roraima,Nov,106,1/1/2013
2014,Roraima,Nov,143,1/1/2014
2015,Roraima,Nov,280,1/1/2015
2016,Roraima,Nov,71,1/1/2016
2017,Roraima,Nov,327,1/1/2017
1998,Roraima,Dec,16,1/1/1998
1999,Roraima,Dec,35,1/1/1999
2000,Roraima,Dec,77,1/1/2000
2001,Roraima,Dec,76,1/1/2001
2002,Roraima,Dec,199,1/1/2002
2003,Roraima,Dec,157,1/1/2003
2004,Roraima,Dec,160,1/1/2004
2005,Roraima,Dec,71,1/1/2005
2006,Roraima,Dec,101,1/1/2006
2007,Roraima,Dec,8,1/1/2007
2008,Roraima,Dec,5,1/1/2008
2009,Roraima,Dec,290,1/1/2009
2010,Roraima,Dec,73,1/1/2010
2011,Roraima,Dec,249,1/1/2011
2012,Roraima,Dec,78,1/1/2012
2013,Roraima,Dec,65,1/1/2013
2014,Roraima,Dec,277,1/1/2014
2015,Roraima,Dec,304,1/1/2015
2016,Roraima,Dec,136,1/1/2016
1998,Santa Catarina,Jan,0,1/1/1998
1999,Santa Catarina,Jan,11,1/1/1999
2000,Santa Catarina,Jan,14,1/1/2000
2001,Santa Catarina,Jan,11,1/1/2001
2002,Santa Catarina,Jan,22,1/1/2002
2003,Santa Catarina,Jan,45,1/1/2003
2004,Santa Catarina,Jan,37,1/1/2004
2005,Santa Catarina,Jan,46,1/1/2005
2006,Santa Catarina,Jan,41,1/1/2006
2007,Santa Catarina,Jan,9,1/1/2007
2008,Santa Catarina,Jan,25,1/1/2008
2009,Santa Catarina,Jan,21,1/1/2009
2010,Santa Catarina,Jan,2,1/1/2010
2011,Santa Catarina,Jan,9,1/1/2011
2012,Santa Catarina,Jan,14,1/1/2012
2013,Santa Catarina,Jan,18,1/1/2013
2014,Santa Catarina,Jan,58,1/1/2014
2015,Santa Catarina,Jan,28,1/1/2015
2016,Santa Catarina,Jan,53,1/1/2016
2017,Santa Catarina,Jan,46,1/1/2017
1998,Santa Catarina,Feb,0,1/1/1998
1999,Santa Catarina,Feb,2,1/1/1999
2000,Santa Catarina,Feb,8,1/1/2000
2001,Santa Catarina,Feb,0,1/1/2001
2002,Santa Catarina,Feb,5,1/1/2002
2003,Santa Catarina,Feb,43,1/1/2003
2004,Santa Catarina,Feb,29,1/1/2004
2005,Santa Catarina,Feb,46,1/1/2005
2006,Santa Catarina,Feb,18,1/1/2006
2007,Santa Catarina,Feb,14,1/1/2007
2008,Santa Catarina,Feb,29,1/1/2008
2009,Santa Catarina,Feb,7,1/1/2009
2010,Santa Catarina,Feb,15,1/1/2010
2011,Santa Catarina,Feb,1,1/1/2011
2012,Santa Catarina,Feb,13,1/1/2012
2013,Santa Catarina,Feb,12,1/1/2013
2014,Santa Catarina,Feb,27,1/1/2014
2015,Santa Catarina,Feb,23,1/1/2015
2016,Santa Catarina,Feb,10,1/1/2016
2017,Santa Catarina,Feb,31,1/1/2017
1998,Santa Catarina,March,0,1/1/1998
1999,Santa Catarina,March,7,1/1/1999
2000,Santa Catarina,March,46,1/1/2000
2001,Santa Catarina,March,1,1/1/2001
2002,Santa Catarina,March,12,1/1/2002
2003,Santa Catarina,March,58,1/1/2003
2004,Santa Catarina,March,73,1/1/2004
2005,Santa Catarina,March,92,1/1/2005
2006,Santa Catarina,March,48,1/1/2006
2007,Santa Catarina,March,23,1/1/2007
2008,Santa Catarina,March,14,1/1/2008
2009,Santa Catarina,March,33,1/1/2009
2010,Santa Catarina,March,9,1/1/2010
2011,Santa Catarina,March,8,1/1/2011
2012,Santa Catarina,March,65,1/1/2012
2013,Santa Catarina,March,14,1/1/2013
2014,Santa Catarina,March,15,1/1/2014
2015,Santa Catarina,March,37,1/1/2015
2016,Santa Catarina,March,21,1/1/2016
2017,Santa Catarina,March,12,1/1/2017
1998,Santa Catarina,April,0,1/1/1998
1999,Santa Catarina,April,0,1/1/1999
2000,Santa Catarina,April,7,1/1/2000
2001,Santa Catarina,April,1,1/1/2001
2002,Santa Catarina,April,7,1/1/2002
2003,Santa Catarina,April,120,1/1/2003
2004,Santa Catarina,April,59,1/1/2004
2005,Santa Catarina,April,25,1/1/2005
2006,Santa Catarina,April,30,1/1/2006
2007,Santa Catarina,April,2,1/1/2007
2008,Santa Catarina,April,31,1/1/2008
2009,Santa Catarina,April,57,1/1/2009
2010,Santa Catarina,April,19,1/1/2010
2011,Santa Catarina,April,5,1/1/2011
2012,Santa Catarina,April,40,1/1/2012
2013,Santa Catarina,April,46,1/1/2013
2014,Santa Catarina,April,34,1/1/2014
2015,Santa Catarina,April,32,1/1/2015
2016,Santa Catarina,April,36,1/1/2016
2017,Santa Catarina,April,26,1/1/2017
1998,Santa Catarina,May,0,1/1/1998
1999,Santa Catarina,May,1,1/1/1999
2000,Santa Catarina,May,0,1/1/2000
2001,Santa Catarina,May,2,1/1/2001
2002,Santa Catarina,May,3,1/1/2002
2003,Santa Catarina,May,84,1/1/2003
2004,Santa Catarina,May,2,1/1/2004
2005,Santa Catarina,May,21,1/1/2005
2006,Santa Catarina,May,33,1/1/2006
2007,Santa Catarina,May,2,1/1/2007
2008,Santa Catarina,May,15,1/1/2008
2009,Santa Catarina,May,33,1/1/2009
2010,Santa Catarina,May,1,1/1/2010
2011,Santa Catarina,May,16,1/1/2011
2012,Santa Catarina,May,60,1/1/2012
2013,Santa Catarina,May,52,1/1/2013
2014,Santa Catarina,May,42,1/1/2014
2015,Santa Catarina,May,70,1/1/2015
2016,Santa Catarina,May,26,1/1/2016
2017,Santa Catarina,May,36,1/1/2017
1998,Santa Catarina,June,2,1/1/1998
1999,Santa Catarina,June,0,1/1/1999
2000,Santa Catarina,June,2,1/1/2000
2001,Santa Catarina,June,1,1/1/2001
2002,Santa Catarina,June,0,1/1/2002
2003,Santa Catarina,June,68,1/1/2003
2004,Santa Catarina,June,127,1/1/2004
2005,Santa Catarina,June,58,1/1/2005
2006,Santa Catarina,June,32,1/1/2006
2007,Santa Catarina,June,11,1/1/2007
2008,Santa Catarina,June,2,1/1/2008
2009,Santa Catarina,June,14,1/1/2009
2010,Santa Catarina,June,1,1/1/2010
2011,Santa Catarina,June,26,1/1/2011
2012,Santa Catarina,June,42,1/1/2012
2013,Santa Catarina,June,31,1/1/2013
2014,Santa Catarina,June,3,1/1/2014
2015,Santa Catarina,June,104,1/1/2015
2016,Santa Catarina,June,79,1/1/2016
2017,Santa Catarina,June,70,1/1/2017
1998,Santa Catarina,July,0,1/1/1998
1999,Santa Catarina,July,2,1/1/1999
2000,Santa Catarina,July,21,1/1/2000
2001,Santa Catarina,July,5,1/1/2001
2002,Santa Catarina,July,82,1/1/2002
2003,Santa Catarina,July,43,1/1/2003
2004,Santa Catarina,July,94,1/1/2004
2005,Santa Catarina,July,90,1/1/2005
2006,Santa Catarina,July,74,1/1/2006
2007,Santa Catarina,July,12,1/1/2007
2008,Santa Catarina,July,46,1/1/2008
2009,Santa Catarina,July,26,1/1/2009
2010,Santa Catarina,July,31,1/1/2010
2011,Santa Catarina,July,31,1/1/2011
2012,Santa Catarina,July,42,1/1/2012
2013,Santa Catarina,July,69,1/1/2013
2014,Santa Catarina,July,82,1/1/2014
2015,Santa Catarina,July,45,1/1/2015
2016,Santa Catarina,July,480,1/1/2016
2017,Santa Catarina,July,591,1/1/2017
1998,Santa Catarina,Aug,0,1/1/1998
1999,Santa Catarina,Aug,51,1/1/1999
2000,Santa Catarina,Aug,69,1/1/2000
2001,Santa Catarina,Aug,24,1/1/2001
2002,Santa Catarina,Aug,702,1/1/2002
2003,Santa Catarina,Aug,1.513,1/1/2003
2004,Santa Catarina,Aug,728,1/1/2004
2005,Santa Catarina,Aug,391,1/1/2005
2006,Santa Catarina,Aug,728,1/1/2006
2007,Santa Catarina,Aug,462,1/1/2007
2008,Santa Catarina,Aug,51,1/1/2008
2009,Santa Catarina,Aug,759,1/1/2009
2010,Santa Catarina,Aug,511,1/1/2010
2011,Santa Catarina,Aug,175,1/1/2011
2012,Santa Catarina,Aug,398,1/1/2012
2013,Santa Catarina,Aug,236,1/1/2013
